# sourceID,framesetID,RA,Dec,mergedClass,priOrSec,JAperMag3,JAperMag3Err,HAperMag3,HAperMag3Err,K_1AperMag3,K_1AperMag3Err,K_2AperMag3,K_2AperMag3Err,H2AperMag3,H2AperMag3Err,pstar,epoch,distance
#
# Results of Query: Database UKIDSSDR8PLUS 12/01/15 19:26
# SELECT  sourceID, framesetID, RA, Dec, mergedClass, priOrSec, 
# JAperMag3, JAperMag3Err, HAperMag3, HAperMag3Err, K_1AperMag3, 
# K_1AperMag3Err, K_2AperMag3, K_2AperMag3Err, H2AperMag3, 
# H2AperMag3Err, pstar, epoch,
# 2*DEGREES(ASIN(sqrt(power(0.22206278975386445-cx,
# 2)+power(-0.9743835349298852-cy,2)+power(-0.035564649081248456-cz,
# 2))/2))*60 as distance  FROM gpsSource WHERE dec > -2.054800766666667 
# and dec < -2.0214674333333336 and RA >= 282.8218026096076 and RA <= 
# 282.85515739039243 and ((cx * 0.22206278975386445 + cy * 
# -0.9743835349298852 + cz * -0.035564649081248456 ) >= 
# 0.9999999576920253)  and (pStar > 0.99) and (priOrSec=0 OR 
# priOrSec=frameSetID) and HAperMag3 >0 and JAperMag3 > 0 and 
# K_1AperMag3 > 0
# Column Headers at start of file AND below
#
# sourceID,framesetID,RA,Dec,mergedClass,priOrSec,JAperMag3,JAperMag3Err,HAperMag3,HAperMag3Err,K_1AperMag3,K_1AperMag3Err,K_2AperMag3,K_2AperMag3Err,H2AperMag3,H2AperMag3Err,pstar,epoch,distance
        438267689321,        438086674173,    +282.8499940,      -2.0471409,    -1,                   0,    +18.845715,     +0.085602,    +17.682444,     +0.064057,    +17.265215,     +0.112917, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.8767495
        438267692127,        438086674173,    +282.8382926,      -2.0279819,    -1,                   0,    +18.188637,     +0.047508,    +17.051964,     +0.036030,    +16.870510,     +0.078407, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.6092343
        438267692159,        438086674173,    +282.8373682,      -2.0450595,    -1,                   0,    +18.304592,     +0.052900,    +17.063908,     +0.036733,    +16.439795,     +0.053139, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.4208386
        438267695335,        438086674173,    +282.8259396,      -2.0468076,    -1,                   0,    +15.095324,     +0.004313,    +13.616800,     +0.002133,    +12.886844,     +0.002486, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.9144657
        438267695091,        438086674173,    +282.8257147,      -2.0286290,    -1,                   0,    +17.889353,     +0.036526,    +16.915290,     +0.031900,    +16.348478,     +0.048621, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.9545347
        438267694860,        438086674173,    +282.8259329,      -2.0423687,    -1,                   0,    +18.678623,     +0.073372,    +17.568842,     +0.057718,    +17.111408,     +0.097791, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.7940936
        438267694834,        438086674173,    +282.8263606,      -2.0310639,    -1,                   0,    +17.522743,     +0.026658,    +15.770885,     +0.011601,    +14.871666,     +0.012887, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.8414624
        438267694831,        438086674173,    +282.8264322,      -2.0319462,    -1,                   0,    +16.657171,     +0.013091,    +15.015833,     +0.006140,    +14.205961,     +0.007223, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.8122313
        438267694777,        438086674173,    +282.8264754,      -2.0493975,    -1,                   0,    +16.387232,     +0.010629,    +15.416621,     +0.008589,    +14.867342,     +0.012863, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.9873429
        438267691766,        438086674173,    +282.8405277,      -2.0422308,    -1,                   0,    +16.565490,     +0.012239,    +15.689364,     +0.010874,    +15.276775,     +0.018563, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.2747616
        438267691504,        438086674173,    +282.8422654,      -2.0515739,    -1,                   0,    +15.636978,     +0.006186,    +14.961988,     +0.005918,    +14.620975,     +0.010416, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.8377228
        438267691458,        438086674173,    +282.8403263,      -2.0411372,    -1,                   0,    +19.458270,     +0.148936,    +18.364725,     +0.119841,    +17.489210,     +0.138747, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.2114781
        438267691440,        438086674173,    +282.8410351,      -2.0263342,    -1,                   0,    +15.822866,     +0.007010,    +14.230669,     +0.003305,    +13.428346,     +0.003788, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.7243810
        438267691176,        438086674173,    +282.8413493,      -2.0268893,    -1,                   0,    +20.213531,     +0.294834,    +18.225897,     +0.104673,    +17.857622,     +0.193789, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.6962788
        438267690755,        438086674173,    +282.8434538,      -2.0337601,    -1,                   0,    +19.870543,     +0.215942,    +18.674448,     +0.158288,    +18.230558,     +0.273418, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.3972687
        438267690715,        438086674173,    +282.8458737,      -2.0239655,    -1,                   0,    +16.890816,     +0.015771,    +15.935906,     +0.013335,    +15.577215,     +0.024198, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.9587778
        438267690283,        438086674173,    +282.8453305,      -2.0436974,    -1,                   0,    +19.394350,     +0.140119,    +17.871925,     +0.075985,    +17.698223,     +0.167911, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.5292965
        438267690225,        438086674173,    +282.8467398,      -2.0285263,    -1,                   0,    +12.866506,     +0.001271,    +11.877948,     +0.000744,    +11.433560,     +0.000925, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.7600074
        438267690211,        438086674173,    +282.8464975,      -2.0519234,    -1,                   0,    +17.682020,     +0.030645,    +16.701101,     +0.026364,    +16.120642,     +0.039732, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.9568870
        438267689644,        438086674173,    +282.8483957,      -2.0513927,    -1,                   0,    +15.417413,     +0.005319,    +13.862899,     +0.002531,    +13.118929,     +0.002976, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.9931556
        438267689540,        438086674173,    +282.8486301,      -2.0492871,    -1,                   0,    +18.781502,     +0.080623,    +17.343374,     +0.046990,    +16.940659,     +0.083905, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.992684,   +2005.4566113,      +0.9045536
        438267689515,        438086674173,    +282.8487536,      -2.0505765,    -1,                   0,    +18.744537,     +0.078008,    +17.572582,     +0.057866,    +17.367401,     +0.124057, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.9678906
        438267688876,        438086674173,    +282.8514295,      -2.0420169,    -1,                   0,    +18.183410,     +0.047322,    +17.112100,     +0.038017,    +16.415356,     +0.051876, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.8106742
        438267688869,        438086674173,    +282.8514068,      -2.0368332,    -1,                   0,    +19.292112,     +0.127832,    +17.662153,     +0.062704,    +17.147684,     +0.101320, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.7790392
