# sourceID,cuEventID,frameSetID,ra,dec,cx,cy,cz,htmID,l,b,lambda,eta,priOrSec,mergedClassStat,mergedClass,pStar,pGalaxy,pNoise,pSaturated,h2HallMag,h2HallMagErr,h2PetroMag,h2PetroMagErr,h2PsfMag,h2PsfMagErr,h2SerMag2D,h2SerMag2DErr,h2AperMag3,h2AperMag3Err,h2AperMag4,h2AperMag4Err,h2AperMag6,h2AperMag6Err,h2Gausig,h2Ell,h2PA,h2ErrBits,h2Deblend,h2Class,h2ClassStat,h2ppErrBits,h2SeqNum,h2Xi,h2Eta,distance
#
# Results of Query: Database U09B8v20120403 12/01/15 19:26
# SELECT  u09b8Source.*,
# 2*DEGREES(ASIN(sqrt(power(0.22206278975386445-cx,
# 2)+power(-0.9743835349298852-cy,2)+power(-0.035564649081248456-cz,
# 2))/2))*60 as distance  FROM u09b8Source WHERE dec > 
# -2.054800766666667 and dec < -2.0214674333333336 and RA >= 
# 282.8218026096076 and RA <= 282.85515739039243 and ((cx * 
# 0.22206278975386445 + cy * -0.9743835349298852 + cz * 
# -0.035564649081248456 ) >= 0.9999999576920253)  and (pStar > 0.99) 
# and (priOrSec=0 OR priOrSec=frameSetID)
# Column Headers at start of file AND below
#
# sourceID,cuEventID,frameSetID,ra,dec,cx,cy,cz,htmID,l,b,lambda,eta,priOrSec,mergedClassStat,mergedClass,pStar,pGalaxy,pNoise,pSaturated,h2HallMag,h2HallMagErr,h2PetroMag,h2PetroMagErr,h2PsfMag,h2PsfMagErr,h2SerMag2D,h2SerMag2DErr,h2AperMag3,h2AperMag3Err,h2AperMag4,h2AperMag4Err,h2AperMag6,h2AperMag6Err,h2Gausig,h2Ell,h2PA,h2ErrBits,h2Deblend,h2Class,h2ClassStat,h2ppErrBits,h2SeqNum,h2Xi,h2Eta,distance
      43864583575429,      33321,      43864500996256,    +282.8499907,      -2.0471398,      +0.2222573,      -0.9743334,      -0.0357217,      12137546604252,     +31.1055039,      -0.9248632,     +81.8890890,    +162.1660293,                   0,     -1.389730,    -1,     +0.993865,     +0.003067,     +0.003067, +0.000000E000,    +17.647545,     +0.337777,    +17.699670,     +0.292568, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,    +17.614101,     +0.170828,    +17.586866,     +0.213578,    +17.185862,     +0.281416,     +1.749267,     +0.172792,   +143.022380,          0,          0,    -1,     -0.982688,          0,      20487, +0.000000E000, +0.000000E000,      +0.8765527
      43864583576802,      33321,      43864500996256,    +282.8484069,      -2.0398724,      +0.2222314,      -0.9743440,      -0.0355950,      12137546597365,     +31.1112520,      -0.9201423,     +81.8924412,    +162.1189612,                   0,     +1.647297,    -1,     +0.993865,     +0.003067,     +0.003067, +0.000000E000,    +12.975307,     +0.006987,    +11.736295,     +0.002065, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,    +11.567759,     +0.001111,    +11.540511,     +0.001175,    +11.633681,     +0.001900,     +3.274416,     +0.106175,   +120.124460,          0,          0,    -1,     +1.164815,         16,      21860, +0.000000E000, +0.000000E000,      +0.6043046
      43864583576881,      33321,      43864500996256,    +282.8427364,      -2.0461987,      +0.2221341,      -0.9743621,      -0.0357053,      12137546430889,     +31.1030371,      -0.9179814,     +81.8963429,    +162.1724657,                   0,     -1.143004,    -1,     +0.993865,     +0.003067,     +0.003067, +0.000000E000,    +16.822280,     +0.131038,    +16.538366,     +0.124631, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,    +16.617058,     +0.068841,    +16.787039,     +0.102884,    +16.198020,     +0.113886,     +2.210206,     +0.077521,   +124.019520,          0,          0,    -1,     -0.808226,          0,      21939, +0.000000E000, +0.000000E000,      +0.5470572
      43864583576686,      33321,      43864500996256,    +282.8442592,      -2.0245385,      +0.2221629,      -0.9743693,      -0.0353275,      12137327703606,     +31.1230131,      -0.9094641,     +81.9002769,    +162.0209422,                   0,     -1.234457,    -1,     +0.993865,     +0.003067,     +0.003067, +0.000000E000,    +15.461665,     +0.048638,    +15.318785,     +0.049244, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,    +14.110643,     +0.007346,    +14.068644,     +0.008766, -9.999995E008, -9.999995E008,     +2.275059,     +0.218004,   +129.547590,          0,          0,    -1,     -0.872893,         16,      21744, +0.000000E000, +0.000000E000,      +0.8862920
      43864583576703,      33321,      43864500996256,    +282.8436920,      -2.0327348,      +0.2221522,      -0.9743666,      -0.0354705,      12137327728528,     +31.1154582,      -0.9126951,     +81.8987860,    +162.0782809,                   0,     -1.341551,    -1,     +0.993865,     +0.003067,     +0.003067, +0.000000E000,    +15.799604,     +0.045265,    +15.823752,     +0.070482, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,    +15.662662,     +0.028838,    +15.668846,     +0.036882,    +15.787416,     +0.077805,     +2.673966,     +0.213702,   +148.463840,          0,          0,    -1,     -0.948620,          0,      21761, +0.000000E000, +0.000000E000,      +0.4501308
      43864583576748,      33321,      43864500996256,    +282.8433334,      -2.0235112,      +0.2221473,      -0.9743735,      -0.0353096,      12137327705171,     +31.1235058,      -0.9081723,     +81.9014282,    +162.0155103,                   0,     -5.236798,    -1,     +0.993865,     +0.003067,     +0.003067, +0.000000E000,    +18.561989,     +0.641990,    +19.348236,     +1.448889, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,    +17.099792,     +0.106546,    +17.527372,     +0.202093, -9.999995E008, -9.999995E008,     +2.544427,     +0.527120,   +106.319244,          0,          0,    -1,     -3.702975,          0,      21806, +0.000000E000, +0.000000E000,      +0.9243780
      43864583576806,      33321,      43864500996256,    +282.8430571,      -2.0401935,      +0.2221403,      -0.9743645,      -0.0356006,      12137327511345,     +31.1085292,      -0.9155297,     +81.8975374,    +162.1306512,                   0,     -0.982750,    -1,     +0.993865,     +0.003067,     +0.003067, +0.000000E000,    +18.573470,     +0.384251,    +18.573470,     +0.384251, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,    +18.363634,     +0.341148,    +18.125563,     +0.351600,    +18.750048,     +1.191596,     +0.811859,     +0.070294,    +48.994892,          0,          0,    -1,     -0.694909,          0,      21864, +0.000000E000, +0.000000E000,      +0.3009822
      43864583576849,      33321,      43864500996256,    +282.8428898,      -2.0433997,      +0.2221371,      -0.9743633,      -0.0356565,      12137327511639,     +31.1055988,      -0.9168422,     +81.8968964,    +162.1529705,                   0,     -3.159287,    -1,     +0.993865,     +0.003067,     +0.003067, +0.000000E000,    +17.732730,     +0.311666,    +17.893463,     +0.400178, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,    +17.274620,     +0.125553,    +17.403566,     +0.181087,    +19.092566,     +1.633945,     +1.982623,     +0.352822,   +145.388610,          0,          0,    -1,     -2.233953,          0,      21907, +0.000000E000, +0.000000E000,      +0.4119847
      43864583576851,      33321,      43864500996256,    +282.8429394,      -2.0363616,      +0.2221389,      -0.9743673,      -0.0355337,      12137327736460,     +31.1118867,      -0.9136786,     +81.8986092,    +162.1045343,                   0,     -3.099888,    -1,     +0.993865,     +0.003067,     +0.003067, +0.000000E000,    +16.319070,     +0.075002,    +16.367876,     +0.105423, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,    +16.084074,     +0.042298,    +16.231820,     +0.061757,    +16.316917,     +0.126801,     +2.389615,     +0.163268,   +141.715260,          0,          0,    -1,     -2.191952,          0,      21909, +0.000000E000, +0.000000E000,      +0.2877664
      43864583576951,      33321,      43864500996256,    +282.8429658,      -2.0477724,      +0.2221377,      -0.9743603,      -0.0357328,      12137546429176,     +31.1017407,      -0.9189027,     +81.8957259,    +162.1828634,                   0,     -1.237738,    -1,     +0.993865,     +0.003067,     +0.003067, +0.000000E000,    +15.829959,     +0.077064,    +15.870937,     +0.068024, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,    +15.732549,     +0.030866,    +15.923270,     +0.046738,    +15.826876,     +0.081086,     +1.877653,     +0.190373,   +126.783900,          0,          0,    -1,     -0.875213,         16,      22009, +0.000000E000, +0.000000E000,      +0.6377898
